id,source_csv_row,source_doc,source_type,target_story,block_id,seq,docx_paragraph_index,word_paragraph_style,inferred_role,idml_paragraph_style_candidate,permission,text,text_sha256
1,1,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,190,Normal,,01-01 章 第◯章,TEXT_ONLY_REPLACE,プロローグ,6bd711a0c587f0c078d13f61396e0634340adf4afbcabad0ac20aea8f2b2a191
2,2,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,190,Normal,,01-01 章 タイトル,TEXT_ONLY_REPLACE,ミツカネグループを離れるミツカネ電子,8e7b3881d7fd5450629e8329b9b358c0b1e51164d107ceb2129a79a9b4a778e0
3,3,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,191,Normal,,01-04 ■小見出し,TEXT_ONLY_REPLACE,ミツカネ工業の取締役会決議,9b4b15c68b7a6614175c9af2785c319302e3a9de0ebd632818a50ca404ac2e61
4,4,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,192,Normal,,01 本文,TEXT_ONLY_REPLACE,"非鉄金属の雄であるプライム市場上場会社のミツカネ工業は、取締役会において、子会社の株式を投資ファンドのジェインに譲渡する決議を行った。
譲渡される子会社とは、ミツカネ電子である。",8fc999546f3bf475cbc5b3e17b003cadb95a9ee7a363977e42e0886e81ff04cf
5,5,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,193,Normal,,01 本文,TEXT_ONLY_REPLACE,その日以降、ミツカネ電子の寺田社長はもとより、経営企画部長の西郷の生活は、一変した。,07e046d12239168773f1a840453f5790b7d74ecd7316e129ac7f126e34dcee88
6,6,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,194,Normal,,01 本文,TEXT_ONLY_REPLACE,"ミツカネ工業が電子を売却する件は、メディアでも大々的に取り上げられ、寺田社長や西郷のところにも、メディアから多くの問い合わせや取材依頼が殺到した。
その対応をしつつ、寺田社長は、事前に準備してあったコミュニケーション・スケジュールに基づいて、ミツカネグループから離れることになった経緯や今後の経営方針を、社員全員に周知する活動を精力的に実行した。
『できるだけ自らの言葉で社員に説明したい』
と考えた寺田社長は、各事業所に出向いて、車座集会を開催し、自らの思いを、一人ひとりの社員に伝えていった。
社員からの質問についても、時間が許す限り、わかりやすい言葉で答えた。",dbcc021cacf97d3a8dd14f94bba2607a907a24a67132a185c527dab4e96a2485
7,7,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,195,Normal,,01 本文,TEXT_ONLY_REPLACE,"そうやって車座集会を開催して実感したことは、一度、集会を開いたくらいでは、社員の理解を得ることは難しいという現実であった。
今後も、多くの機会を設けて、社員と直接対話する機会を増やさなければいけないと、寺田社長は強く感じていた。",55e057224a62fde9853435b4ac0746937dcd9960bbba2cd6277f218d3e44e5d0
8,8,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,197,Normal,,01-04 ■小見出し,TEXT_ONLY_REPLACE,すべてはここから始まった,6ce4b837c302291f4431e23dd0990ef772226b2267ea080415682807fb99eb3c
9,9,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,198,Normal,,01 本文,TEXT_ONLY_REPLACE,今夜は、その多忙なスケジュールの合間をぬって、新たな株主となったジェインとの会食に臨むべく、寺田社長は、西郷と一緒に、東京タワーのたもとにある会席料理屋に出向いた。,393bc4526fb57c1386aea084f0227dc4b13940c65ee76ef65c05f4c6902109a3
10,10,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,199,Normal,,01 本文,TEXT_ONLY_REPLACE,約束の時間よりも早く店に着いたため、冷え込んでくる夕方の時間帯だったが、庭を散策することにした。,c7e9e4079777857fa8e784848142f7e43768c5477f5d5f9e52c602c843641247
11,11,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,200,Normal,,01 本文,TEXT_ONLY_REPLACE,「この２年間は、まるでジェットコースターのようだったね」,a004becc14521e2ac81a8f8eb1d7ae60cc72012abd1b56abf5c007aa9be92186
12,12,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,201,Normal,,01 本文,TEXT_ONLY_REPLACE,寺田社長が西郷を見て、感慨深げにつぶやく。,2f7aca6100e55716925058ec7681b36b058fd55172d9b2e0272aba72e5382b59
13,13,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,202,Normal,,01 本文,TEXT_ONLY_REPLACE,深くうなずく西郷。,656e26499fd70e652c999ef23b272e4026b5d189aebb0f040eebe5143601835b
14,14,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,203,Normal,,01 本文,TEXT_ONLY_REPLACE,庭の踏み石のうえで、寺田社長は、歩みを止め、天を仰ぐ。,51a3dc33f9249e3ce994aeb626ead330d8f54c0a2a5b9c6425dae9ff73487448
15,15,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,204,Normal,,01 本文,TEXT_ONLY_REPLACE,「すべてはここから始まった」,6bd758bbe268c62c73da81928d7053a156031bf2531c8a12b144a205e9d0aa43
16,16,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,205,Normal,,01 本文,TEXT_ONLY_REPLACE,"大手町が、自分たちの会社を「遠ざける会社」に分類し、「売却の意思決定をした」と知ったとき、当事者である自分たちの話を聞くこともなく、そういう重大な意思決定をした大手町に、寺田社長はおおいに困惑し、悔しくてたまらなかった。
やり場のない怒りを振り向ける先もなく、大手町への欝憤と虚脱感は、頂点に達していた。",a56740109d233545a68b46b2fc691b38b05f99ade5697df5fb0e72a5010e8672
17,17,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,206,Normal,,01 本文,TEXT_ONLY_REPLACE,"大手町とは、親会社であるミツカネ工業のことである。
本社が大手町にあることから、ミツカネ工業は、グループ子会社から、そう呼ばれている。",f6dbe42d2ce6e397e71c88bb39fe5a2eefb983cffe666d5e9fdb7bf6b3c1b0a1
