slot_id,story_file,story_self,paragraph_index,idml_paragraph_style,text_preview,content_count,footnote_count,replace_scope,permission
u10a9_P0001,Stories/Story_u10a9.xml,u10a9,1,01-01 章 第◯章,第２章,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0002,Stories/Story_u10a9.xml,u10a9,2,01-01 章 タイトル,クロージングまでのミツカネ電子とジェイン,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0003,Stories/Story_u10a9.xml,u10a9,3,01-02 節 数字,１,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0004,Stories/Story_u10a9.xml,u10a9,4,01-02 節 見出し,会食の翌日,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0005,Stories/Story_u10a9.xml,u10a9,5,01-03 項 見出し,林さん登場,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0006,Stories/Story_u10a9.xml,u10a9,6,01 本文,翌日朝８時。↵ジェインの米倉が、林を連れて来社した。↵西郷が一人で対応する。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0007,Stories/Story_u10a9.xml,u10a9,7,01 本文,「昨日は、ありがとうございました。↵今朝は、朝早くから、時間をとってもらって、恐縮です。↵お忙しいと思いますので、すぐに用件に入ります。↵まず、こちらが林です」↵米倉は、手短に林を西郷に紹介する。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0008,Stories/Story_u10a9.xml,u10a9,8,01 本文,まだ３０歳くらいか。見た目、若い。利発そうで、爽やかな印象の青年だ。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0009,Stories/Story_u10a9.xml,u10a9,9,01 本文,「林さんの席は、経営企画に準備しました。↵最初は、わからないことが多いと思いますので、小杉という若手をつけます。なんでも小杉に聞いてください」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0010,Stories/Story_u10a9.xml,u10a9,10,01 本文,（来たばかりの林さんを一人にしておくわけにはいかない）↵と思い、西郷は、寺田社長と別れた後、夜中に、各所にメールを出して、手配を済ませておいた。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0011,Stories/Story_u10a9.xml,u10a9,11,01 本文,林の紹介が終わると、米倉は、↵「クロージングまでの間に、やりたいことがありまして・・・」↵とやおら話を切り出す。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0012,Stories/Story_u10a9.xml,u10a9,12,01-03 項 見出し,セカンドデューデリジェンス,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0013,Stories/Story_u10a9.xml,u10a9,13,01 本文,（あれっ？↵昨日は、『1 on 1の打ち合わせ』って、言ってなかったっけ？）↵と思いながら、↵「はい、何でしょうか」↵と応じる西郷。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0014,Stories/Story_u10a9.xml,u10a9,14,01 本文,「セカンドデューデリジェンス　セカンドデューデリジェンスとは、企業買収や投資の際に行われる調査や分析を再実施するプロセスのこと。を実施したいと考えています」,4,1,PARAGRAPH_CONTENT_ONLY,FOOTNOTE_TEXT_ONLY_REPLACE_ANCHOR_LOCKED
u10a9_P0015,Stories/Story_u10a9.xml,u10a9,15,01 本文,「セカンドデューデリジェンス？」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0016,Stories/Story_u10a9.xml,u10a9,16,01 本文,「ディールの一環で実施したデューデリジェンスは、期間限定でしたから、限界があります。↵ミツカネ工業さんとしても、詳細情報までつまびらかに出したくなかったでしょうから、依頼した情報の全てを出してもらったわけではありません。↵こちらからすると、ディールの意思決定に最低限必要な情報しか出してもらっていません」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0017,Stories/Story_u10a9.xml,u10a9,17,01 本文,（そんなことを私に言われても・・・）↵怪訝な表情になる西郷。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0018,Stories/Story_u10a9.xml,u10a9,18,01 本文,「いえいえ、これは電子さんのせいではありませんし、それについてどうのこうの言っているわけではありません。↵ミツカネ工業さんとは、契約を締結しました。↵ですから、デューデリジェンスにおいて提出してもらえなかったこれらの資料や情報を、このタイミングになったので、出してもらえればということです。↵言ってみたら、↵『再度、デュ,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0019,Stories/Story_u10a9.xml,u10a9,19,01 本文,書類を上から目でざっと確認している西郷に、↵「クロージング後でないと出せないものがありましたら、それでも大丈夫です。↵この時点で出せる情報だけでも出してもらえれば・・・」↵と米倉は、付け足す。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0020,Stories/Story_u10a9.xml,u10a9,20,01 本文,（こんなにたくさんあるのか。↵デューデリジェンスでは、プロジェクトチームを作って、要求された資料をマシーンのように準備して、どんどんFA　FA（Financial Advisor）とは、M&Aの計画から交渉、スキーム立案・クロージングまでの幅広い範囲でアドバイスを行い、M&A実行の支援を行うプロフェッショナルのこと。に,4,1,PARAGRAPH_CONTENT_ONLY,FOOTNOTE_TEXT_ONLY_REPLACE_ANCHOR_LOCKED
u10a9_P0021,Stories/Story_u10a9.xml,u10a9,21,01 本文,書類を数枚めくった西郷は、（あれっ？）と思う。↵（見たことがある質問だ。↵これらへの回答は、ちゃんと渡したはずだ。↵大手町が内容をチェックしていたから、大手町がジェインに渡さなかったということか・・・）,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0022,Stories/Story_u10a9.xml,u10a9,22,01 本文,西郷は、表情を変えず、書類から目をあげ、米倉をみる。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
